N,P,K,rainfall,humidity,temperature,Soil_Moisture,Sunshine_hours,Wind_speed,pH,Organic_Carbon
88,77,70,1875.353351,44.18,33.42,28.2,8.69,6.54,5.92,0.94
37,12,94,1288.865429,79.54,37.67,52.44,4.63,2.91,5.68,0.86
112,93,118,1434.679168,49.11,33.04,32.96,4.22,16.11,7.43,0.56
88,77,70,1875.353351,44.18,33.42,30.58,10.83,5.88,7.11,0.92
4,36,57,548.7121479,49.94,36.92,32.73,7.08,11,5.93,0.83
107,82,91,1662.449809,73.27,19.47,45.93,9.17,9.06,6.43,0.6
6,54,23,2824.728791,81.48,18.01,52.18,6.49,7.75,6.6,0.98
120,41,81,2110.719063,38.29,33.15,29.89,5.65,15.74,6.24,0.69
99,92,40,1031.964038,50.95,37.57,28.83,7.95,7.06,6.54,0.65
107,82,91,1662.449809,73.27,19.47,52.61,6.49,11.14,6.1,1.4
2,56,128,1317.941909,40.95,22.18,31.02,6.19,8.16,7.46,0.92
72,98,126,857.6834066,43.6,22.04,35.6,6.69,12.55,6.15,1.19
89,66,71,433.4232138,83.34,27.19,54.01,6.92,9.64,6.05,0.94
4,36,57,548.7121479,49.94,36.92,32.98,5.68,11.25,6.23,1.07
2,56,128,1317.941909,40.95,22.18,28.27,6.61,12.31,7.35,0.74
112,93,118,1434.679168,49.11,33.04,31.25,5.95,12.13,6.72,1.36
120,41,81,2110.719063,38.29,33.15,27.56,5.21,9.55,6.79,0.31
96,44,29,1346.46549,69.83,39.01,40.81,7.35,8.17,6.09,0.64
99,92,40,1031.964038,50.95,37.57,34.5,4.5,14.73,7.11,0.81
102,88,100,2531.493177,89.27,26.16,59.55,8.42,14.8,7.02,1.16
5,36,76,2536.189989,88.47,26.55,57.35,8.89,14.82,6.82,0.51
102,88,100,2531.493177,89.27,26.16,57.38,6.41,9.67,6.43,1.12
34,11,29,1496.288904,56.75,15.46,40.17,6.6,5.46,5.51,0.46
68,49,19,2725.50021,84.59,15.62,51.92,6.68,16.18,6.12,0.67
107,82,91,1662.449809,73.27,19.47,51.19,5.43,13.97,6.94,0.69
121,7,149,1708.343871,66.45,23.21,49.22,9.33,9.78,7.2,0.81
88,77,70,1875.353351,44.18,33.42,29.68,8.88,11.35,6.5,1.29
34,11,29,1496.288904,56.75,15.46,36.83,7.05,9.26,7.35,1.41
89,66,71,433.4232138,83.34,27.19,57.52,5.95,9.39,5.6,1.02
112,93,118,1434.679168,49.11,33.04,35.86,6.63,6.94,6.27,1.39
24,48,124,2048.340015,53.69,29.99,36.41,7.26,7.29,5.67,1.03
90,83,10,868.0725787,39.95,26.66,25.66,5.05,13.3,6.83,0.55
42,67,127,967.3162763,49.15,33.59,32.23,9.81,5.31,6.34,0.79
79,5,137,1322.342437,45.13,26.16,28.14,7.34,2,5.8,0.71
94,12,57,2633.696307,63.78,23.89,41.6,6.76,6.07,6.22,1.16
64,9,133,596.9233626,56.94,34.27,41.33,6.11,16.16,6.14,0.92
3,91,9,2335.697463,52.88,15.64,39.48,6.61,8.15,6,1.21
106,49,101,2142.829418,56.03,18.44,39.98,7.9,6.57,5.72,0.73
99,92,40,1031.964038,50.95,37.57,32.71,6.08,11.84,6.32,1.18
54,28,106,2559.91505,81.8,16.55,51.83,7.72,10.37,5.84,1.32
65,48,52,1632.776658,51.62,31.18,34.34,4.48,11.99,6.31,1.01
102,88,100,2531.493177,89.27,26.16,62.95,7.54,16.37,6.71,0.56
120,41,81,2110.719063,38.29,33.15,28.6,5.53,7.24,6.73,0.74
99,92,40,1031.964038,50.95,37.57,39.61,7.92,9.14,7.06,0.83
96,44,29,1346.46549,69.83,39.01,48.71,7.09,7.37,6.01,1.07
89,66,71,433.4232138,83.34,27.19,45.41,7.48,16.24,6.88,1.4
96,44,29,1346.46549,69.83,39.01,42.82,8.91,11.57,5.55,0.46
96,44,29,1346.46549,69.83,39.01,46.79,4.18,12.13,6.24,1.13
37,12,94,1288.865429,79.54,37.67,53.59,7.91,5.88,6.8,0.95
54,28,106,2559.91505,81.8,16.55,54.51,6.64,6.19,7.36,1.36
107,82,91,1662.449809,73.27,19.47,48.2,8.7,10.6,6.41,0.32
94,12,57,2633.696307,63.78,23.89,44.67,5.26,13.74,6.79,0.97
41,38,124,2267.785471,79.53,25.29,49.43,6.85,6.04,6.01,0.6
105,80,132,1028.256369,61.36,39.68,41.56,8.3,12,6.82,0.87
37,12,94,1288.865429,79.54,37.67,52.68,7.98,12.1,5.63,0.67
120,41,81,2110.719063,38.29,33.15,26.16,10.15,11.86,6.53,0.86
30,73,67,1250.226635,54.66,18.58,41.86,4.79,13.19,6.46,0.7
64,9,133,596.9233626,56.94,34.27,36.08,6.2,14.72,7.17,0.83
24,48,124,2048.340015,53.69,29.99,40.22,7.78,15.09,6.13,0.69
30,73,67,1250.226635,54.66,18.58,37.64,8.06,4.68,6.74,1.05
18,75,76,2697.614197,82.86,26.14,48.17,8.22,13.52,6.79,0.71
68,49,19,2725.50021,84.59,15.62,52.28,7.97,5.96,5.68,0.35
18,75,76,2697.614197,82.86,26.14,53.53,7.31,13.66,7.39,0.76
65,48,52,1632.776658,51.62,31.18,40.16,8.02,7.54,7.32,0.59
34,11,29,1496.288904,56.75,15.46,40.18,6,9.06,7.36,0.6
34,11,29,1496.288904,56.75,15.46,34.94,5.23,18.93,5.86,1.06
99,92,40,1031.964038,50.95,37.57,39.92,6.28,13.07,6.93,0.38
121,7,149,1708.343871,66.45,23.21,43.4,8.71,14.08,7.03,0.43
106,49,101,2142.829418,56.03,18.44,40.59,5.8,12.82,6.14,0.58
79,5,137,1322.342437,45.13,26.16,29.37,4.56,11.42,6.84,0.28
79,5,137,1322.342437,45.13,26.16,30.69,7.23,10.13,6.89,1.05
120,41,81,2110.719063,38.29,33.15,30.38,7.54,10.84,5.71,0.34
89,66,71,433.4232138,83.34,27.19,53.1,5.61,7.09,7.16,0.36
79,5,137,1322.342437,45.13,26.16,33.07,9.83,19.33,6.72,0.86
64,9,133,596.9233626,56.94,34.27,35.05,6.89,9.05,6.35,0.86
41,38,124,2267.785471,79.53,25.29,55.83,8.09,17.07,5.57,0.54
96,44,29,1346.46549,69.83,39.01,47.79,8.67,9.54,6.03,0.96
88,77,70,1875.353351,44.18,33.42,33.55,8.42,9.96,6.87,1.1
2,56,128,1317.941909,40.95,22.18,29.66,5.68,8.9,6.58,0.8
106,49,101,2142.829418,56.03,18.44,40.12,8.78,9.75,6.43,0.61
34,11,29,1496.288904,56.75,15.46,40.17,8.43,5.46,7.43,0.59
64,9,133,596.9233626,56.94,34.27,38.08,6.74,10.21,7.22,0.67
96,44,29,1346.46549,69.83,39.01,46.57,7.4,14.28,6.44,0.39
88,77,70,1875.353351,44.18,33.42,32.92,9.99,11.51,6.11,0.77
3,91,9,2335.697463,52.88,15.64,39.02,7.06,17.25,5.5,0.89
65,48,52,1632.776658,51.62,31.18,39.77,5.26,3.5,7.29,1.14
41,38,124,2267.785471,79.53,25.29,50.09,8.23,13.36,5.98,0.75
30,73,67,1250.226635,54.66,18.58,36.4,9.18,2.87,6.33,0.75
41,38,124,2267.785471,79.53,25.29,47.93,4.58,17.01,5.92,0.94
106,49,101,2142.829418,56.03,18.44,40.97,6.36,12.46,6.75,0.71
64,9,133,596.9233626,56.94,34.27,37.61,4.93,2.87,5.63,0.84
34,11,29,1496.288904,56.75,15.46,42.18,6.42,7.3,7.03,0.47
34,11,29,1496.288904,56.75,15.46,33.66,9.87,9.36,5.73,0.87
6,54,23,2824.728791,81.48,18.01,53.57,7.71,16.16,6.44,1.41
107,82,91,1662.449809,73.27,19.47,49.44,5.36,13.43,7.49,0.2
30,73,67,1250.226635,54.66,18.58,33.67,8.82,2,6.19,0.42
99,92,40,1031.964038,50.95,37.57,33.78,8.93,5.54,7.1,1.02
128,84,92,989.1155953,31.24,16.39,24.5,5.61,18.52,5.66,0.36
41,38,124,2267.785471,79.53,25.29,55.46,9.22,13.24,6,0.79
4,36,57,548.7121479,49.94,36.92,32.48,5.6,8.03,6.56,0.46
128,84,92,989.1155953,31.24,16.39,21.02,7.17,11.15,7.29,0.53
18,75,76,2697.614197,82.86,26.14,54.66,9.92,5.89,7.45,0.97
120,41,81,2110.719063,38.29,33.15,26.73,9.11,11.21,6.39,1.13
79,5,137,1322.342437,45.13,26.16,30.48,7.04,9.04,6.23,0.77
41,38,124,2267.785471,79.53,25.29,51.98,6.9,13.21,6.77,0.68
105,80,132,1028.256369,61.36,39.68,41.31,9.58,11.6,6.86,0.89
64,9,133,596.9233626,56.94,34.27,35.22,9.32,14.8,6.09,0.64
112,93,118,1434.679168,49.11,33.04,34.55,4.98,11.6,6.96,0.69
64,9,133,596.9233626,56.94,34.27,42.93,7.58,9.92,6.27,1.16
102,88,100,2531.493177,89.27,26.16,63.74,8.88,11.99,7.48,1
65,48,52,1632.776658,51.62,31.18,36.65,6.09,10.11,5.72,1.05
120,41,81,2110.719063,38.29,33.15,26.81,7.12,11.12,6.98,0.81
5,36,76,2536.189989,88.47,26.55,59.64,6.27,10.08,5.53,0.73
42,67,127,967.3162763,49.15,33.59,36.23,5.66,9.99,7.42,0.81
112,93,118,1434.679168,49.11,33.04,38.37,4.11,8.3,6.58,0.94
106,49,101,2142.829418,56.03,18.44,38.12,4.22,7.64,7.39,1.04
107,82,91,1662.449809,73.27,19.47,55.8,5.47,11.12,6.52,0.96
107,82,91,1662.449809,73.27,19.47,46.95,5.63,9.45,6.04,1.07
106,49,101,2142.829418,56.03,18.44,36.08,7.46,8.39,6.21,0.75
2,56,128,1317.941909,40.95,22.18,26.83,7.45,7.87,6.59,0.24
79,5,137,1322.342437,45.13,26.16,31.06,5.75,9.71,7.17,1.1
107,82,91,1662.449809,73.27,19.47,50.87,5.3,8.49,6.38,0.81
128,84,92,989.1155953,31.24,16.39,20.32,6.63,17.26,7.41,0.9
88,77,70,1875.353351,44.18,33.42,28.42,7.93,10.95,6.88,1.02
24,48,124,2048.340015,53.69,29.99,34.93,5.87,11.82,7.44,0.97
106,49,101,2142.829418,56.03,18.44,41.94,6.47,3.04,5.91,0.9
4,36,57,548.7121479,49.94,36.92,36.62,8.01,16.83,5.92,0.9
102,88,100,2531.493177,89.27,26.16,57.61,5.95,9.77,6.33,0.2
99,92,40,1031.964038,50.95,37.57,31.98,7.74,9.9,7.15,0.95
68,49,19,2725.50021,84.59,15.62,57.16,8.53,4.09,6.91,0.74
34,11,29,1496.288904,56.75,15.46,34.65,7.13,10.45,6.04,0.74
94,12,57,2633.696307,63.78,23.89,43.18,5.7,14.1,5.66,0.33
88,77,70,1875.353351,44.18,33.42,27.84,7.26,10.28,5.69,0.81
34,11,29,1496.288904,56.75,15.46,41.17,8.36,7.02,5.7,0.85
128,84,92,989.1155953,31.24,16.39,22.42,6.67,10.56,5.58,1.19
34,11,29,1496.288904,56.75,15.46,35.55,4.5,10.11,7.08,0.67
90,83,10,868.0725787,39.95,26.66,28.69,4.39,10.6,6.5,0.69
105,80,132,1028.256369,61.36,39.68,37.68,3.56,10.44,6.27,1.01
25,81,43,1455.697857,32.32,23.45,26.14,6.22,12.83,5.58,1.2
88,77,70,1875.353351,44.18,33.42,30.39,6.58,4.08,7.32,0.53
89,66,71,433.4232138,83.34,27.19,53.33,6.38,10.29,6.32,0.63
6,54,23,2824.728791,81.48,18.01,58.42,8.68,15.2,6.5,1.01
128,84,92,989.1155953,31.24,16.39,21.95,8.03,11.69,5.67,1.04
121,7,149,1708.343871,66.45,23.21,36.84,6.19,10.95,6.29,0.81
112,93,118,1434.679168,49.11,33.04,38.26,6.52,4.93,6.32,1.25
72,98,126,857.6834066,43.6,22.04,28.77,6.33,8.69,5.8,1.51
120,41,81,2110.719063,38.29,33.15,28.09,5.28,6.39,5.57,0.39
112,93,118,1434.679168,49.11,33.04,35.52,7.82,6.71,6.62,0.53
99,92,40,1031.964038,50.95,37.57,34.79,11.19,5.81,5.64,0.7
120,41,81,2110.719063,38.29,33.15,31.98,6.12,14.59,5.84,1.19
106,49,101,2142.829418,56.03,18.44,36.81,4.95,17.69,5.84,0.61
24,48,124,2048.340015,53.69,29.99,34.35,6.25,8.52,6.34,1.17
99,92,40,1031.964038,50.95,37.57,28.01,5.55,4.46,7.39,0.85
89,66,71,433.4232138,83.34,27.19,55.63,5.32,9.24,6.75,0.98
30,73,67,1250.226635,54.66,18.58,34.24,9.77,12.66,5.63,0.75
68,49,19,2725.50021,84.59,15.62,55.35,8.36,15.21,6.26,0.91
42,67,127,967.3162763,49.15,33.59,28.54,8.22,5.44,6.88,0.99
89,66,71,433.4232138,83.34,27.19,59.26,7.14,19.64,5.82,0.73
96,44,29,1346.46549,69.83,39.01,44.45,5.74,9.03,6.5,0.77
24,48,124,2048.340015,53.69,29.99,34.74,8.48,6.05,5.76,0.69
18,75,76,2697.614197,82.86,26.14,55.59,10.18,11.42,6.53,1.23
106,49,101,2142.829418,56.03,18.44,36.7,6.15,6.03,7.07,0.2
18,75,76,2697.614197,82.86,26.14,54.13,6.79,7.38,6.28,0.78
106,49,101,2142.829418,56.03,18.44,45.07,5.54,4.21,7.49,0.64
121,7,149,1708.343871,66.45,23.21,42.18,7.79,15.42,6.88,0.64
90,83,10,868.0725787,39.95,26.66,31.75,8.63,8.15,6.03,1.07
65,48,52,1632.776658,51.62,31.18,37.23,6.42,6.46,5.74,0.82
3,91,9,2335.697463,52.88,15.64,38.85,7.43,6.59,5.83,0.68
4,36,57,548.7121479,49.94,36.92,38.09,6.19,4.54,6,0.78
18,75,76,2697.614197,82.86,26.14,51,9.37,13.1,5.68,0.38
64,9,133,596.9233626,56.94,34.27,38.87,6.28,5.57,6.79,0.8
41,38,124,2267.785471,79.53,25.29,52.17,8.84,20.79,6.23,1.02
106,49,101,2142.829418,56.03,18.44,37.36,5.73,7.66,6.89,1.47
89,66,71,433.4232138,83.34,27.19,55.5,7.18,5.26,6.71,0.27
6,54,23,2824.728791,81.48,18.01,59.5,7.07,12.71,6.94,1.52
99,92,40,1031.964038,50.95,37.57,32.84,7.35,18.38,7.18,0.7
64,9,133,596.9233626,56.94,34.27,41.02,8.79,2,7.18,1.01
3,91,9,2335.697463,52.88,15.64,32.11,6.18,7.71,6.85,0.54
4,36,57,548.7121479,49.94,36.92,34.17,7.09,10.14,7.12,0.77
41,38,124,2267.785471,79.53,25.29,54.74,5.49,9.54,6.82,0.42
99,92,40,1031.964038,50.95,37.57,36.55,8.35,3.82,6.11,0.84
88,77,70,1875.353351,44.18,33.42,30.51,7.21,6.91,7.42,0.46
25,81,43,1455.697857,32.32,23.45,24.14,4.73,3.44,6.77,1.09
72,98,126,857.6834066,43.6,22.04,31.25,3.54,6.39,6.99,1.22
106,49,101,2142.829418,56.03,18.44,38.04,5.02,4.52,6.48,0.65
121,7,149,1708.343871,66.45,23.21,45.45,7.85,11.27,5.86,0.39
128,84,92,989.1155953,31.24,16.39,18.01,5.74,6.87,5.8,0.52
68,49,19,2725.50021,84.59,15.62,53.35,7.2,9.38,6.93,1.04
90,83,10,868.0725787,39.95,26.66,27.22,6.98,2,7.3,0.2
24,48,124,2048.340015,53.69,29.99,35.59,7.09,3.06,6.88,0.5
121,7,149,1708.343871,66.45,23.21,46.66,6.33,14.24,6.34,0.41
5,36,76,2536.189989,88.47,26.55,56.57,5.13,6.63,5.53,1.2
102,88,100,2531.493177,89.27,26.16,62.14,5.78,12.84,6.93,0.99
41,38,124,2267.785471,79.53,25.29,60.45,6.46,7.96,5.97,0.89
88,77,70,1875.353351,44.18,33.42,32.65,7.06,7.47,7.35,0.71
18,75,76,2697.614197,82.86,26.14,58.29,3.11,16.45,6.93,0.93
94,12,57,2633.696307,63.78,23.89,44.7,6.51,3.65,6.61,0.65
79,5,137,1322.342437,45.13,26.16,30.36,4.78,7.08,6.84,0.51
96,44,29,1346.46549,69.83,39.01,44.66,7.33,10.34,6.59,0.89
68,49,19,2725.50021,84.59,15.62,56.81,6.46,2,5.65,1.23
90,83,10,868.0725787,39.95,26.66,26.87,10.31,3.7,6.3,0.34
89,66,71,433.4232138,83.34,27.19,56.32,6.27,2.59,6.19,1.27
105,80,132,1028.256369,61.36,39.68,44.22,6.45,10.88,5.63,0.56
37,12,94,1288.865429,79.54,37.67,55.7,6.07,15.76,7.27,0.77
4,36,57,548.7121479,49.94,36.92,31.35,6.59,7.46,5.71,0.47
18,75,76,2697.614197,82.86,26.14,49.57,6.85,14.54,7.36,0.64
5,36,76,2536.189989,88.47,26.55,59.98,4.29,9.58,5.63,0.97
128,84,92,989.1155953,31.24,16.39,27.58,6.51,14.52,6.72,0.79
34,11,29,1496.288904,56.75,15.46,38.09,4.2,17.47,6.18,0.62
18,75,76,2697.614197,82.86,26.14,57.54,7.74,3.78,6.63,0.76
2,56,128,1317.941909,40.95,22.18,24.43,9.54,12.35,6.13,0.96
24,48,124,2048.340015,53.69,29.99,31.45,8.44,11.37,7.31,0.88
65,48,52,1632.776658,51.62,31.18,29.95,7.22,14.04,5.82,0.21
42,67,127,967.3162763,49.15,33.59,38.25,10.4,12.7,7.24,1.27
65,48,52,1632.776658,51.62,31.18,34.2,7.54,10.13,6.56,0.55
94,12,57,2633.696307,63.78,23.89,44,6.62,14.73,5.57,0.47
79,5,137,1322.342437,45.13,26.16,31.3,7.25,9.19,7.4,0.69
2,56,128,1317.941909,40.95,22.18,33.38,8.68,5.78,5.58,0.72
24,48,124,2048.340015,53.69,29.99,39.36,7.01,12.55,7.21,0.88
65,48,52,1632.776658,51.62,31.18,36.91,6.72,11.63,6.66,1.16
89,66,71,433.4232138,83.34,27.19,55.95,6.89,12.14,6.65,1
107,82,91,1662.449809,73.27,19.47,50.55,5.91,7.55,6.04,0.66
37,12,94,1288.865429,79.54,37.67,50.79,5.8,13.69,6.88,0.76
120,41,81,2110.719063,38.29,33.15,30.29,8.23,2,6.64,0.93
6,54,23,2824.728791,81.48,18.01,55.41,10.59,16.71,7.4,1.29
64,9,133,596.9233626,56.94,34.27,40.22,6.02,10.45,6.13,0.25
6,54,23,2824.728791,81.48,18.01,52.77,7.46,10.68,7.27,0.99
25,81,43,1455.697857,32.32,23.45,27.46,6.73,10.81,6.51,0.97
18,75,76,2697.614197,82.86,26.14,58.64,4.88,2,5.55,0.59
42,67,127,967.3162763,49.15,33.59,30.65,4.87,9.64,5.85,0.64
72,98,126,857.6834066,43.6,22.04,30.79,6.52,9.36,6.43,0.9
3,91,9,2335.697463,52.88,15.64,40.87,6.29,10.95,5.81,1.19
54,28,106,2559.91505,81.8,16.55,53.69,6.81,9.56,6.9,0.34
4,36,57,548.7121479,49.94,36.92,34.59,7.73,5.95,6.61,0.77
79,5,137,1322.342437,45.13,26.16,31.23,6.58,10.06,6.69,1.23
2,56,128,1317.941909,40.95,22.18,32.88,8.6,12.29,7.29,0.58
64,9,133,596.9233626,56.94,34.27,35.06,6.22,12.89,7.3,0.36
99,92,40,1031.964038,50.95,37.57,31.77,10.15,2,6.58,0.87
25,81,43,1455.697857,32.32,23.45,25.35,5.97,5.55,6.28,1.13
106,49,101,2142.829418,56.03,18.44,44.98,7.1,8.79,5.85,1.4
128,84,92,989.1155953,31.24,16.39,27.06,7.09,8.77,6.57,0.85
120,41,81,2110.719063,38.29,33.15,26.55,5.05,12.34,7.13,0.76
64,9,133,596.9233626,56.94,34.27,39.28,8.89,12.02,5.89,1.09
94,12,57,2633.696307,63.78,23.89,45.48,8.16,11.51,6.3,0.9
106,49,101,2142.829418,56.03,18.44,34.61,7.78,6.38,7.35,0.88
112,93,118,1434.679168,49.11,33.04,34.24,7.99,17.29,7.22,0.85
65,48,52,1632.776658,51.62,31.18,38.96,4.96,10.63,6.18,1.02
94,12,57,2633.696307,63.78,23.89,46.17,9.37,15.35,6.29,0.83
65,48,52,1632.776658,51.62,31.18,33.36,7.59,10.98,6.4,1.21
34,11,29,1496.288904,56.75,15.46,36.57,7.24,8.73,7.06,0.66
94,12,57,2633.696307,63.78,23.89,48.12,7.04,8.05,7.36,0.55
65,48,52,1632.776658,51.62,31.18,37.23,9.73,11.98,6.74,0.55
65,48,52,1632.776658,51.62,31.18,39.42,7.03,7.59,6.63,0.41
5,36,76,2536.189989,88.47,26.55,52.41,9.54,8.08,6.52,0.2
68,49,19,2725.50021,84.59,15.62,56.29,7.76,11.55,5.64,0.55
121,7,149,1708.343871,66.45,23.21,46.26,6.9,12.07,6.5,1.14
107,82,91,1662.449809,73.27,19.47,52.25,5.01,4.98,5.87,0.7
42,67,127,967.3162763,49.15,33.59,35.39,7.12,11.95,7.37,0.71
24,48,124,2048.340015,53.69,29.99,37.24,7.07,17.49,6.8,1.28
65,48,52,1632.776658,51.62,31.18,34,6.27,15.68,5.94,0.74
88,77,70,1875.353351,44.18,33.42,29.22,6.68,7.17,6.07,1.09
24,48,124,2048.340015,53.69,29.99,33.24,5.55,7.7,6.3,1.06
37,12,94,1288.865429,79.54,37.67,54.19,6.23,13.68,7.3,0.88
72,98,126,857.6834066,43.6,22.04,34.91,8.8,3.5,6.5,0.26
41,38,124,2267.785471,79.53,25.29,56.34,6.5,12.5,6.78,1.01
89,66,71,433.4232138,83.34,27.19,57.91,7.51,12.86,6.29,0.89
102,88,100,2531.493177,89.27,26.16,55.84,6.47,9.6,6.8,0.96
128,84,92,989.1155953,31.24,16.39,25.53,7.94,9.92,6.83,0.93
30,73,67,1250.226635,54.66,18.58,40.76,6,13.94,7.24,0.97
41,38,124,2267.785471,79.53,25.29,51.83,7.53,10.47,6.27,0.57
107,82,91,1662.449809,73.27,19.47,52.8,8.05,23.87,5.68,0.53
79,5,137,1322.342437,45.13,26.16,37.77,8.12,10.03,5.88,0.97
72,98,126,857.6834066,43.6,22.04,28.15,6.88,10.83,7.17,1.01
120,41,81,2110.719063,38.29,33.15,26.67,6.06,9,5.55,0.32
25,81,43,1455.697857,32.32,23.45,31.11,7.14,11.94,7.36,0.4
6,54,23,2824.728791,81.48,18.01,56.24,7.71,12.43,7,0.83
34,11,29,1496.288904,56.75,15.46,45.69,7.94,13.47,5.88,0.73
89,66,71,433.4232138,83.34,27.19,54.29,5.84,13.07,6.52,0.3
96,44,29,1346.46549,69.83,39.01,43.9,6.75,8.8,6.97,0.94
5,36,76,2536.189989,88.47,26.55,60.47,9.35,8.43,7.15,0.74
24,48,124,2048.340015,53.69,29.99,35.23,4.81,17.28,5.7,0.91
107,82,91,1662.449809,73.27,19.47,49.33,6.54,4.42,7.06,0.56
79,5,137,1322.342437,45.13,26.16,34.31,8.33,8.81,6.67,0.4
6,54,23,2824.728791,81.48,18.01,53.54,8.15,9.47,6.1,0.78
37,12,94,1288.865429,79.54,37.67,51.97,8.81,2.98,6.7,0.37
65,48,52,1632.776658,51.62,31.18,31.69,8.82,15.95,6.01,0.47
68,49,19,2725.50021,84.59,15.62,59.15,5.3,11.7,6.38,0.99
41,38,124,2267.785471,79.53,25.29,54.47,6,14.4,5.74,1.15
4,36,57,548.7121479,49.94,36.92,36.24,4.85,9.34,6.33,0.95
41,38,124,2267.785471,79.53,25.29,48.43,6.32,10.93,7.09,0.33
2,56,128,1317.941909,40.95,22.18,30.73,8.19,12.27,6.2,0.63
99,92,40,1031.964038,50.95,37.57,31.95,6.52,6.11,7.1,1.08
128,84,92,989.1155953,31.24,16.39,25.53,8.93,7.26,6.63,0.86
128,84,92,989.1155953,31.24,16.39,22.84,6.6,6.25,6.8,0.95
18,75,76,2697.614197,82.86,26.14,50.61,5.89,11.09,6.1,0.69
68,49,19,2725.50021,84.59,15.62,54.68,7.28,20.12,6.65,0.82
6,54,23,2824.728791,81.48,18.01,48.04,7.5,11.32,6.61,1.12
3,91,9,2335.697463,52.88,15.64,35.61,8.96,9.26,6.87,0.45
121,7,149,1708.343871,66.45,23.21,42.48,7.93,2,5.76,0.75
79,5,137,1322.342437,45.13,26.16,32.43,6.71,7.79,6.33,1.11
24,48,124,2048.340015,53.69,29.99,40.06,5.63,13.37,6.74,0.62
105,80,132,1028.256369,61.36,39.68,43.16,7,10.84,6.68,0.57
79,5,137,1322.342437,45.13,26.16,34.93,6.8,7.88,5.52,1.12
120,41,81,2110.719063,38.29,33.15,25.91,5.85,10.61,5.91,0.54
65,48,52,1632.776658,51.62,31.18,36.28,7.34,12.23,5.53,0.66
4,36,57,548.7121479,49.94,36.92,37.49,9.16,8.2,5.53,0.76
94,12,57,2633.696307,63.78,23.89,42.35,5.93,8.18,5.61,1.21
34,11,29,1496.288904,56.75,15.46,41.14,7.72,13.47,6.29,0.84
2,56,128,1317.941909,40.95,22.18,26.75,7.81,13.22,7.41,0.75
106,49,101,2142.829418,56.03,18.44,38.71,6.5,20.51,7.25,1.25
79,5,137,1322.342437,45.13,26.16,34.49,6.56,11.52,5.53,0.63
41,38,124,2267.785471,79.53,25.29,55.96,5.81,7.27,7.12,0.52
30,73,67,1250.226635,54.66,18.58,39.61,6.27,8.74,6.72,0.43
30,73,67,1250.226635,54.66,18.58,39.59,6.78,5.72,7.42,0.68
68,49,19,2725.50021,84.59,15.62,52.03,5.18,6.78,7.04,0.76
99,92,40,1031.964038,50.95,37.57,29.32,4.64,11.04,7.36,1.19
54,28,106,2559.91505,81.8,16.55,50.37,7.57,7.84,5.96,1.2
6,54,23,2824.728791,81.48,18.01,51.21,7.09,12.47,7.48,0.82
3,91,9,2335.697463,52.88,15.64,35.1,8.35,14.47,7.27,0.56
102,88,100,2531.493177,89.27,26.16,58.46,6.61,16.52,5.63,0.34
25,81,43,1455.697857,32.32,23.45,24.34,7.09,9.44,7.33,0.91
72,98,126,857.6834066,43.6,22.04,28.31,5.76,10.03,5.65,1.01
30,73,67,1250.226635,54.66,18.58,32.9,6.09,15.56,6.23,0.36
54,28,106,2559.91505,81.8,16.55,58.01,5.28,6.24,6.91,0.72
5,36,76,2536.189989,88.47,26.55,59.68,3.85,2,7.24,0.38
107,82,91,1662.449809,73.27,19.47,49.53,4.85,8.01,6.3,1.12
112,93,118,1434.679168,49.11,33.04,33.41,6.14,12.94,6.33,0.69
54,28,106,2559.91505,81.8,16.55,50.93,6.37,5.48,5.55,0.91
30,73,67,1250.226635,54.66,18.58,38.14,4.99,2,6.44,0.75
68,49,19,2725.50021,84.59,15.62,57.49,5.17,12.68,5.64,0.85
41,38,124,2267.785471,79.53,25.29,53.97,10.29,15.99,6.42,0.78
88,77,70,1875.353351,44.18,33.42,26.17,8.67,11,5.87,0.69
105,80,132,1028.256369,61.36,39.68,38.51,9.17,7.35,6.03,0.67
128,84,92,989.1155953,31.24,16.39,25.85,5.92,9.44,6.53,0.88
68,49,19,2725.50021,84.59,15.62,57.06,7.69,14.56,6.47,0.9
128,84,92,989.1155953,31.24,16.39,25.3,6.45,11.02,6.43,0.53
68,49,19,2725.50021,84.59,15.62,55.97,8.87,9.31,6.18,1.07
42,67,127,967.3162763,49.15,33.59,37.07,4.54,16.72,6.21,1.09
112,93,118,1434.679168,49.11,33.04,40.02,5.83,16.93,6.97,1.01
41,38,124,2267.785471,79.53,25.29,51.9,7.01,11.62,5.64,1.13
37,12,94,1288.865429,79.54,37.67,57.52,5.74,9.45,6.26,1.44
102,88,100,2531.493177,89.27,26.16,57.65,4.9,13.83,5.69,1.27
24,48,124,2048.340015,53.69,29.99,38.01,7.28,8.54,5.72,0.53
25,81,43,1455.697857,32.32,23.45,28.33,4.41,3.52,6.17,1.47
99,92,40,1031.964038,50.95,37.57,34.13,4.91,12.9,6.55,0.2
64,9,133,596.9233626,56.94,34.27,42.16,8.87,9.51,6.63,0.8
4,36,57,548.7121479,49.94,36.92,32.49,6.5,9.91,7.25,0.81
25,81,43,1455.697857,32.32,23.45,27.86,6.19,10.6,7.29,0.75
64,9,133,596.9233626,56.94,34.27,37.51,7.92,15.34,6.34,0.82
94,12,57,2633.696307,63.78,23.89,41.93,5.24,19.79,7.06,0.46
